# cuerpo, x, y, z, vx, vy, vz, t, masa
0.000000000000000000e+00,-1.358777220005632877e+09,-1.018494671314128494e+10,0.000000000000000000e+00,9.711237060875542726e-01,-2.597296388110021681e+01,0.000000000000000000e+00,7.630000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,6.222199964442572021e+10,1.203042753808181458e+11,0.000000000000000000e+00,-2.750003561891898789e+04,1.176537093141268269e+04,0.000000000000000000e+00,7.630000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.756290612032145996e+11,3.614344563597280121e+10,0.000000000000000000e+00,-9.330598924423381959e+02,1.427369544626321294e+04,0.000000000000000000e+00,7.630000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.357564872528122663e+09,-1.021297511743316841e+10,0.000000000000000000e+00,1.274173591907455494e+00,-2.592988823417609723e+01,0.000000000000000000e+00,7.640000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,3.116120565330344772e+10,1.295871409427294006e+11,0.000000000000000000e+00,-2.979345545136175133e+04,5.293218620048811317e+03,0.000000000000000000e+00,7.640000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.744542637110921631e+11,5.154632102572882080e+10,0.000000000000000000e+00,-1.243422595046262131e+03,1.424888619658298921e+04,0.000000000000000000e+00,7.640000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.356027952147013187e+09,-1.024095245889023018e+10,0.000000000000000000e+00,1.572046897005740407e+00,-2.587853427656768446e+01,0.000000000000000000e+00,7.650000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,-1.585442051315225124e+09,1.315770038565778656e+11,0.000000000000000000e+00,-3.058619068303126187e+04,-1.690030939489782668e+03,0.000000000000000000e+00,7.650000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.729446384995698242e+11,6.691859867168563843e+10,0.000000000000000000e+00,-1.553079585145589363e+03,1.421701277082479828e+04,0.000000000000000000e+00,7.650000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.354172406277330399e+09,-1.026887034805612946e+10,0.000000000000000000e+00,1.864114064398569415e+00,-2.581996123179854763e+01,0.000000000000000000e+00,7.660000000000000000e+02,1.989099999999999888e+30
